year,authors,title,first_author,journal,citations,tags
2023,"Mohamed, Ali-Heybe, Hamer, Hill, ",Improving cardiovascular health by replacing salt with low-sodium salt substitutes: a synthesis of existing evidence.,Mohamed,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2021,"Gianatsi, Hill, Marson, Nevitt, Donegan, Tudur Smith, ",Antiepileptic drug add-on therapy for focal epilepsy: a network meta-analysis,Gianatsi,Cochrane Database of Systematic Reviews,1,PCCC
2022,"Moncrieff, Gyte, Dahlen, Thomson, Singata-Madliki, Clegg, Downe, ",Routine vaginal examinations compared to other methods for assessing progress of labour to improve outcomes for women and babies at term.,Moncrieff,Cochrane Database Syst Rev,30,MIDAS
2019,"Omani-Samani, Almasi-Hashiani, Safiri, Rezaeinejad, Shokri, Khedmati Morasae, Maroufizadeh, Sepidarkish, ",Why caesarean is more unequally concentrated among better-off people in Tehran? A concentration index decomposition approach.,Omani-Samani,J Epidemiol Community Health,2,CLAHRC
2021,"Rose, Daras, Cloke, Rodgers, Farrell, Ahmed, Barr, ",Impact of local air quality management policies on emergency hospitalisations for respiratory conditions in the North West Coast region of England: a longitudinal controlled ecological study.,Rose,Int J Equity Health,2,CHI | IPH | Public Advisor
2019,"Rarani, Shadi, Rashedi, Morasae, ",What has Iran achieved in under-five mortality in terms of equity and efficiency in the past decades?,Rarani,Public Health,2,CLAHRC
2021,"Watkins, Jones, Hurley, Benedetto, Price, Sutton, Quinn, Bangee, Chesworth, Miller, Doran, Siriwardena, Gibson, ",Predictors of recognition of out of hospital cardiac arrest by emergency medical services call handlers in England: a mixed methods diagnostic accuracy study.,Watkins,Scand J Trauma Resusc Emerg Med,13,IMPACT | MIDAS
2018,"Green, Daras, Davies, Barr, Singleton, ","Developing an openly accessible multi-dimensional small area index of 'Access to Healthy Assets and Hazards' for Great Britain, 2016.",Green,Health Place,55,CHI | CLAHRC | IPH
2021,"Green, Musi, Rowe, Charles, Pollock, Kypridemos, Morse, Rossini, Tulloch, Davies, Dearden, Maheswaran, Singleton, Vivancos, Sheard, ",Identifying how COVID-19-related misinformation reacts to the announcement of the UK national lockdown: An interrupted time-series study,Green,Big Data &amp; Society,10,HACAL
2023,"Hamer, Hill, Zafar, Morgan, ",Effectiveness of mental practice for limb dysfunction in patients who have experienced a stroke: a systematic review and meta-analysis.,Hamer,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2016,"Gabbay, Shiels, Hillage, ",Sickness certification for common mental disorders and GP return-to-work advice.,Gabbay,Prim Health Care Res Dev,11,CLAHRC
